# bin	classification	reason	lineage	lineage scores	superkingdom	phylum	class	order	family	genus	species
Bin_0-contigs.fa	taxid assigned	based on 2661/2715 ORFs	1;131567;2;1224;28211;204457	1.00;1.00;1.00;0.99;0.99;0.93	Bacteria: 1.00	Proteobacteria: 0.99	Alphaproteobacteria: 0.99	Sphingomonadales: 0.93	no support	no support	no support
Bin_1-contigs.fa	taxid assigned	based on 1900/1988 ORFs	1;131567;2;1783270;68336;976;1853228	1.00;0.98;0.98;0.90;0.90;0.90;0.86	Bacteria: 0.98	Bacteroidetes: 0.90	Chitinophagia: 0.86	no support	no support	no support	no support
Bin_10-contigs.fa	taxid assigned	based on 1804/1850 ORFs	1;131567;2;1224;1236;135613;1046;1047;61644	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.96;0.82	Bacteria: 1.00	Proteobacteria: 0.99	Gammaproteobacteria: 0.99	Chromatiales: 0.99	Chromatiaceae: 0.99	Chromatium: 0.96	Chromatium okenii: 0.82
Bin_100-contigs.fa	taxid assigned	based on 1882/1941 ORFs	1;131567;2;1224;1236;135614;32033;40323	1.00;0.99;0.96;0.88;0.58;0.53;0.53;0.50	Bacteria: 0.96	Proteobacteria: 0.88	Gammaproteobacteria: 0.58	Xanthomonadales: 0.53	Xanthomonadaceae: 0.53	Stenotrophomonas: 0.50	no support
Bin_102-contigs.fa	taxid assigned	based on 2948/3009 ORFs	1;131567;2;1783270;68336;976;768503;768507	1.00;1.00;1.00;0.97;0.97;0.97;0.79;0.43	Bacteria: 1.00	Bacteroidetes: 0.97	Cytophagia: 0.79	Cytophagales: 0.43	no support	no support	no support
Bin_103-contigs.fa	taxid assigned (1/2)	based on 796/1245 ORFs	1;131567;2	1.00;0.56;0.50	Bacteria: 0.50	no support	no support	no support	no support	no support	no support
Bin_103-contigs.fa	taxid assigned (2/2)	based on 796/1245 ORFs	1;10239	1.00;0.34	Viruses: 0.34	no support	no support	no support	no support	no support	no support
Bin_104-contigs.fa	taxid assigned	based on 1378/2408 ORFs	1;131567;2	1.00;0.81;0.78	Bacteria: 0.78	no support	no support	no support	no support	no support	no support
Bin_106-contigs.fa	taxid assigned (1/2)	based on 192/205 ORFs	1;131567;2;1783272;201174;1760;52018;1883427	1.00;0.99;0.98;0.94;0.92;0.91;0.49;0.41	Bacteria: 0.98	Actinobacteria: 0.92	Actinomycetia: 0.91	NA	NA	NA	Actinobacteria bacterium: 0.41
Bin_106-contigs.fa	taxid assigned (2/2)	based on 192/205 ORFs	1;131567;2;1783272;201174;1760;85006	1.00;0.99;0.98;0.94;0.92;0.91;0.33	Bacteria: 0.98	Actinobacteria: 0.92	Actinomycetia: 0.91	Micrococcales: 0.33	no support	no support	no support
Bin_107-contigs.fa	taxid assigned	based on 4567/5008 ORFs	1;131567;2;1224;28211	1.00;0.99;0.89;0.56;0.34	Bacteria: 0.89	Proteobacteria: 0.56	Alphaproteobacteria: 0.34	no support	no support	no support	no support
Bin_108-contigs.fa	taxid assigned	based on 583/1055 ORFs	1;131567;2;1224	1.00;0.85;0.59;0.41	Bacteria: 0.59	Proteobacteria: 0.41	no support	no support	no support	no support	no support
Bin_109-contigs.fa	taxid assigned	based on 9144/9288 ORFs	1;131567;2;1783272;201174;1760	1.00;1.00;0.99;0.95;0.95;0.90	Bacteria: 0.99	Actinobacteria: 0.95	Actinomycetia: 0.90	no support	no support	no support	no support
Bin_11-contigs.fa	taxid assigned (1/2)	based on 2044/4265 ORFs	1;131567;2	1.00;0.53;0.45	Bacteria: 0.45	no support	no support	no support	no support	no support	no support
Bin_11-contigs.fa	taxid assigned (2/2)	based on 2044/4265 ORFs	1;10239	1.00;0.35	Viruses: 0.35	no support	no support	no support	no support	no support	no support
Bin_110-contigs.fa	taxid assigned (1/2)	based on 1856/2898 ORFs	1;131567;2	1.00;0.62;0.57	Bacteria: 0.57	no support	no support	no support	no support	no support	no support
Bin_110-contigs.fa	taxid assigned (2/2)	based on 1856/2898 ORFs	1;10239	1.00;0.31	Viruses: 0.31	no support	no support	no support	no support	no support	no support
Bin_111-contigs.fa	taxid assigned	based on 2489/3367 ORFs	1;131567;2;1783270;68336	1.00;0.64;0.62;0.31;0.30	Bacteria: 0.62	no support	no support	no support	no support	no support	no support
Bin_113-contigs.fa	taxid assigned	based on 787/1261 ORFs	1;131567;2	1.00;0.83;0.76	Bacteria: 0.76	no support	no support	no support	no support	no support	no support
Bin_114-contigs.fa	taxid assigned	based on 1770/1893 ORFs	1;131567;2;1224;28211;204457;41297;13687	1.00;0.98;0.96;0.75;0.55;0.41;0.39;0.32	Bacteria: 0.96	Proteobacteria: 0.75	Alphaproteobacteria: 0.55	Sphingomonadales: 0.41	Sphingomonadaceae: 0.39	Sphingomonas: 0.32	no support
Bin_115-contigs.fa	taxid assigned	based on 3508/4080 ORFs	1;131567;2;1783257;74201	1.00;1.00;0.98;0.82;0.80	Bacteria: 0.98	Verrucomicrobia: 0.80	no support	no support	no support	no support	no support
Bin_117-contigs.fa	taxid assigned	based on 827/1132 ORFs	1;131567;2	1.00;0.75;0.75	Bacteria: 0.75	no support	no support	no support	no support	no support	no support
Bin_119-contigs.fa	taxid assigned	based on 2521/3592 ORFs	1;131567;2	1.00;0.77;0.73	Bacteria: 0.73	no support	no support	no support	no support	no support	no support
Bin_12-contigs.fa	taxid assigned	based on 2010/3025 ORFs	1;131567;2	1.00;0.98;0.96	Bacteria: 0.96	no support	no support	no support	no support	no support	no support
Bin_120-contigs.fa	taxid assigned	based on 1521/1804 ORFs	1;131567;2;1224;28216	1.00;0.72;0.71;0.37;0.33	Bacteria: 0.71	Proteobacteria: 0.37	Betaproteobacteria: 0.33	no support	no support	no support	no support
Bin_121-contigs.fa	taxid assigned	based on 15/23 ORFs	1	1.00	no support	no support	no support	no support	no support	no support	no support
Bin_122-contigs.fa	no taxid assigned	no hits to database
